id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
2_0,2,2025-01-13 19:16:00,228,1438,Monday,122,60,302,272,213,165,180,216,home,False
5_1,5,2025-01-13 19:16:01,224,290,Monday,10,10,279,191,146,104,271,189,home,False
8_6,8,2025-01-13 19:16:22,134,3307,Monday,434,75,480,153,457,114,45,77,home,False
13_0,13,2025-01-13 19:16:59,95,226,Monday,334,87,413,250,377,169,73,163,home,False
12_0,12,2025-01-13 19:19:28,49,1390,Monday,348,91,613,181,415,101,263,74,home,False
12_1,12,2025-01-13 19:20:17,17,503,Monday,359,101,595,174,415,132,110,62,home,False
