-1,2024-05-02 07:19:31.575504,2024-05-02 07:19:42.196001,80,250,156,358,226
-1,2024-05-02 07:20:13.883376,2024-05-02 07:20:21.603577,38,160,87,220,116
-1,2024-05-02 07:19:58.846144,2024-05-02 07:20:23.340390,57,223,79,289,111
-1,2024-05-02 07:19:11.065252,2024-05-02 07:20:23.032851,784,181,148,227,199
64,2024-05-02 07:19:29.622874,2024-05-02 07:20:19.314437,106,179,146,227,197
-1,2024-05-02 07:20:16.740982,2024-05-02 07:20:26.706749,50,322,193,417,383
41,2024-05-02 07:21:13.340959,2024-05-02 07:21:29.653970,164,326,26,414,117
-1,2024-05-02 07:21:35.011712,2024-05-02 07:22:26.415931,351,373,117,447,167
-1,2024-05-02 07:19:31.570858,2024-05-02 07:20:29.071907,74,279,129,344,167
67,2024-05-02 07:18:49.159954,2024-05-02 07:20:27.032494,1034,207,220,255,282
76,2024-05-02 07:22:22.096697,2024-05-02 07:22:40.157468,113,416,243,558,337
67,2024-05-02 07:22:54.634133,2024-05-02 07:23:31.976270,227,435,94,522,155
-1,2024-05-02 07:18:58.585838,2024-05-02 07:19:10.735238,99,251,129,366,206
-1,2024-05-02 07:23:33.323596,2024-05-02 07:24:00.904787,75,158,203,204,294
-1,2024-05-02 07:23:33.422640,2024-05-02 07:24:23.344852,127,208,227,255,282
67,2024-05-02 07:21:35.102446,2024-05-02 07:22:03.963186,43,374,113,448,164
41,2024-05-02 07:23:29.211329,2024-05-02 07:24:24.511456,42,326,26,409,107
-1,2024-05-02 07:23:59.196738,2024-05-02 07:24:25.049024,35,181,148,227,199
-1,2024-05-02 07:24:17.564222,2024-05-02 07:26:40.046217,125,113,14,223,126
39,2024-05-02 07:18:41.775703,2024-05-02 07:20:27.986135,1181,486,120,586,313
65,2024-05-02 07:18:49.147374,2024-05-02 07:20:29.527327,688,324,189,435,376
67,2024-05-02 07:23:33.318404,2024-05-02 07:24:23.695010,327,208,221,255,283
-1,2024-05-02 07:18:49.311547,2024-05-02 07:20:27.793650,148,464,280,538,361
-1,2024-05-02 07:22:13.577963,2024-05-02 07:22:17.260815,33,181,148,227,199
-1,2024-05-02 07:24:53.657681,2024-05-02 07:25:45.697776,241,212,223,256,283
-1,2024-05-02 07:19:38.135868,2024-05-02 07:20:27.137153,255,157,205,199,286
-1,2024-05-02 07:19:42.440775,2024-05-02 07:20:16.731040,36,61,272,153,292
-1,2024-05-02 07:19:55.077593,2024-05-02 07:19:58.477486,33,186,0,577,146
-1,2024-05-02 07:27:32.216112,2024-05-02 07:28:06.440229,106,221,79,291,111
76,2024-05-02 07:20:16.531032,2024-05-02 07:20:26.918816,76,248,236,344,326
-1,2024-05-02 07:27:17.323749,2024-05-02 07:27:33.275761,63,251,129,366,206
39,2024-05-02 07:20:29.249418,2024-05-02 07:21:36.515565,769,486,121,587,310
65,2024-05-02 07:27:14.634828,2024-05-02 07:27:24.520981,63,324,190,436,378
-1,2024-05-02 07:20:30.866543,2024-05-02 07:21:35.879576,129,456,279,539,367
-1,2024-05-02 07:20:52.787131,2024-05-02 07:20:57.009059,41,157,194,198,298
-1,2024-05-02 07:21:03.599414,2024-05-02 07:22:18.279691,782,155,125,225,144
-1,2024-05-02 07:21:13.359550,2024-05-02 07:21:29.570030,119,289,90,382,131
-1,2024-05-02 07:21:15.137287,2024-05-02 07:21:29.669908,37,283,91,386,151
76,2024-05-02 07:22:05.100831,2024-05-02 07:22:18.608571,144,416,243,558,337
-1,2024-05-02 07:22:18.906414,2024-05-02 07:22:30.827206,49,252,158,362,225
-1,2024-05-02 07:22:19.117793,2024-05-02 07:22:31.734300,51,59,270,150,292
76,2024-05-02 07:23:33.515806,2024-05-02 07:26:03.828762,1152,416,244,558,337
-1,2024-05-02 07:22:22.193516,2024-05-02 07:23:59.427552,722,155,125,225,144
65,2024-05-02 07:22:27.551583,2024-05-02 07:23:48.665532,571,421,158,548,222
76,2024-05-02 07:23:33.312823,2024-05-02 07:25:04.800735,641,240,239,341,335
-1,2024-05-02 07:23:33.531699,2024-05-02 07:26:03.846876,1152,442,223,486,299
73,2024-05-02 07:23:59.416840,2024-05-02 07:28:06.430860,1734,139,7,324,158
-1,2024-05-02 07:26:38.902613,2024-05-02 07:27:23.779196,273,111,25,146,117
73,2024-05-02 07:26:38.748284,2024-05-02 07:27:14.535227,258,136,64,326,173
-1,2024-05-02 07:26:49.662573,2024-05-02 07:27:21.600616,115,230,79,291,112
-1,2024-05-02 07:27:25.858384,2024-05-02 07:28:06.005222,74,113,14,223,126
-1,2024-05-02 07:24:53.652523,2024-05-02 07:26:01.047821,366,258,213,296,255
73,2024-05-02 07:25:46.337559,2024-05-02 07:26:39.043750,435,70,176,240,294
-1,2024-05-02 07:25:48.970290,2024-05-02 07:26:59.336013,561,20,180,103,274
-1,2024-05-02 07:25:49.102448,2024-05-02 07:26:23.748641,31,208,225,254,281
73,2024-05-02 07:26:55.212569,2024-05-02 07:27:21.287367,38,196,46,290,138
-1,2024-05-02 07:26:56.548851,2024-05-02 07:27:20.714161,179,197,51,292,87
41,2024-05-02 07:27:17.312051,2024-05-02 07:27:33.263682,63,305,124,392,230
