id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
5_14,5,2025-01-19 15:24:16,112,396,Sunday,414,530,633,720,472,646,187,225,home,True
8_22,8,2025-01-19 15:27:01,31,935,Sunday,344,396,457,576,401,486,112,180,home,True
8_45,8,2025-01-19 15:30:33,24,235,Sunday,462,179,591,304,524,82,38,140,home,False
8_19,8,2025-01-19 15:25:31,49,558,Sunday,358,338,421,510,397,460,37,107,home,False
5_0,5,2025-01-19 15:23:32,31,207,Sunday,526,620,753,843,640,731,225,222,home,False
5_4,5,2025-01-19 15:26:31,39,844,Sunday,341,26,688,372,511,186,349,330,home,False
4_1,4,2025-01-19 15:23:39,65,381,Sunday,1,133,232,320,116,224,231,191,home,True
5_7,5,2025-01-19 15:29:52,219,759,Sunday,100,460,376,715,238,588,275,254,home,True
5_8,5,2025-01-19 15:23:45,63,859,Sunday,373,43,744,377,555,206,378,332,home,False
5_12,5,2025-01-19 15:27:39,327,4053,Sunday,221,120,797,518,504,328,575,360,home,True
8_11,8,2025-01-19 15:24:48,31,731,Sunday,602,244,766,348,667,293,175,84,home,False
4_6,4,2025-01-19 15:29:24,179,288,Sunday,954,0,1065,93,1008,46,112,93,home,False
9_3,9,2025-01-19 15:25:43,62,838,Sunday,346,359,395,420,370,390,49,60,home,False
8_20,8,2025-01-19 15:25:51,69,342,Sunday,381,389,418,586,400,488,36,197,home,False
5_21,5,2025-01-19 15:29:28,218,380,Sunday,97,464,370,718,227,594,262,252,home,True
8_42,8,2025-01-19 15:30:23,34,362,Sunday,444,243,594,356,527,307,167,105,home,True
8_53,8,2025-01-19 15:31:17,64,403,Sunday,487,113,621,250,607,146,54,115,home,False
8_66,8,2025-01-19 15:32:04,15,279,Sunday,477,156,599,258,516,192,82,72,home,True
8_79,8,2025-01-19 15:32:51,37,742,Sunday,284,328,422,448,328,404,42,176,home,False
