id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
9_0,9,2025-01-23 18:11:45,79,220,Thursday,576,525,779,646,686,543,114,115,home,True
3_0,3,2025-01-23 18:10:42,48,334,Thursday,205,82,379,270,292,175,174,183,home,False
5_0,5,2025-01-23 18:13:19,144,1068,Thursday,6,46,864,846,431,448,860,795,home,True
1_0,1,2025-01-23 18:13:19,151,561,Thursday,181,463,369,584,280,540,168,83,home,False
9_1,9,2025-01-23 18:11:31,93,751,Thursday,267,167,308,191,288,179,40,23,home,False
9_5,9,2025-01-23 18:12:04,170,1049,Thursday,588,521,786,654,697,603,210,121,home,True
