id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
8_4,8,2025-01-13 19:12:12,59,730,Monday,401,113,476,234,438,172,75,122,home,False
8_4,8,2025-01-13 19:13:48,54,331,Monday,432,88,512,214,472,150,81,124,home,False
8_25,8,2025-01-13 19:13:40,62,498,Monday,452,189,508,277,480,233,55,88,home,False
8_0,8,2025-01-13 19:11:00,71,1999,Monday,347,289,498,352,422,320,151,63,home,True
2_0,2,2025-01-13 19:11:06,293,1191,Monday,123,57,292,252,208,158,179,208,home,True
13_0,13,2025-01-13 19:12:16,176,987,Monday,291,81,399,246,330,164,80,165,home,False
8_9,8,2025-01-13 19:14:59,36,735,Monday,430,96,527,185,478,140,96,89,home,False
5_2,5,2025-01-13 19:15:34,25,214,Monday,291,21,886,391,599,184,562,324,home,True
8_14,8,2025-01-13 19:13:12,106,918,Monday,428,109,507,221,469,163,77,112,home,False
