41,2024-08-01 04:09:26.022985,2024-08-01 04:09:38.252262,135,266,138,345,238,table1
-1,2024-08-01 04:09:45.073294,2024-08-01 04:10:25.052457,436,40,114,133,220,table1
41,2024-08-01 04:11:08.625987,2024-08-01 04:11:18.486391,86,365,115,433,203,table1
73,2024-08-01 04:12:19.042064,2024-08-01 04:12:42.908478,232,124,188,324,353,table1
-1,2024-08-01 04:12:02.341583,2024-08-01 04:12:42.343530,337,146,114,478,380,table1
-1,2024-08-01 04:09:00.045883,2024-08-01 04:11:37.610880,1713,201,253,248,306,table1
-1,2024-08-01 04:09:09.861139,2024-08-01 04:09:58.425945,552,338,237,467,324,table1
39,2024-08-01 04:10:14.000015,2024-08-01 04:10:21.941256,83,486,114,564,271,table1
73,2024-08-01 04:13:03.780825,2024-08-01 04:15:03.383247,988,121,188,326,350,table1
-1,2024-08-01 04:12:19.825384,2024-08-01 04:12:42.930488,122,202,241,375,398,table1
-1,2024-08-01 04:12:26.678548,2024-08-01 04:12:43.019979,161,226,341,317,419,table1
-1,2024-08-01 04:13:58.558016,2024-08-01 04:15:05.445301,580,23,110,475,430,table1
-1,2024-08-01 04:13:03.788716,2024-08-01 04:13:58.477272,311,109,119,468,429,table1
-1,2024-08-01 04:13:04.122540,2024-08-01 04:14:06.134925,276,109,242,376,427,table1
-1,2024-08-01 04:13:29.311707,2024-08-01 04:13:57.774263,241,25,118,178,226,table1
39,2024-08-01 04:14:20.507727,2024-08-01 04:14:35.359292,130,541,90,623,266,table1
-1,2024-08-01 04:14:24.807054,2024-08-01 04:15:05.347100,324,448,284,549,374,table1
-1,2024-08-01 04:14:24.948240,2024-08-01 04:15:04.934415,313,472,261,610,387,table1
