id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
11_0,11,2025-01-24 11:33:50,34,220,Friday,322,471,480,616,401,544,158,143,home,True
9_1,9,2025-01-24 11:33:39,45,229,Friday,362,202,436,285,399,244,82,83,home,True
5_0,5,2025-01-24 11:33:33,13,240,Friday,646,420,886,648,766,534,239,228,home,True
5_21,5,2025-01-24 11:39:43,21,399,Friday,443,18,702,197,552,69,222,139,home,True
9_1,9,2025-01-24 11:39:51,90,373,Friday,359,199,433,284,396,242,73,85,home,True
8_4,8,2025-01-24 11:34:26,306,1978,Friday,479,46,605,226,542,135,125,181,home,True
5_13,5,2025-01-24 11:39:17,115,215,Friday,4,76,254,315,223,234,404,304,home,True
3_0,3,2025-01-24 11:34:47,18,369,Friday,419,190,496,316,458,253,76,126,home,False
2_1,2,2025-01-24 11:35:05,247,3993,Friday,326,0,441,168,396,78,100,157,home,False
8_7,8,2025-01-24 11:39:29,112,601,Friday,533,308,652,370,591,338,121,62,home,True
5_21,5,2025-01-24 11:41:09,52,937,Friday,447,24,718,181,577,128,277,127,home,True
9_7,9,2025-01-24 11:40:15,52,467,Friday,333,115,368,137,350,126,35,21,home,False
