id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
8_0,8,2025-01-19 16:34:28,69,474,Sunday,203,169,313,279,261,220,99,118,home,False
9_7,9,2025-01-19 16:37:21,80,2351,Sunday,366,397,520,582,454,500,130,166,home,True
5_2,5,2025-01-19 16:34:40,43,740,Sunday,513,378,768,586,619,403,425,435,home,False
13_0,13,2025-01-19 16:36:54,18,299,Sunday,394,137,539,260,466,199,144,122,home,False
8_14,8,2025-01-19 16:40:45,27,452,Sunday,384,240,506,396,499,313,111,158,home,False
13_1,13,2025-01-19 16:38:40,116,289,Sunday,248,222,404,346,315,282,152,133,home,False
9_10,9,2025-01-19 16:38:42,12,237,Sunday,348,214,477,282,405,287,124,114,home,False
9_13,9,2025-01-19 16:38:58,99,2362,Sunday,356,127,505,276,436,199,134,156,home,False
9_17,9,2025-01-19 16:40:38,50,265,Sunday,147,476,358,699,262,650,113,105,home,False
9_18,9,2025-01-19 16:40:41,47,604,Sunday,396,539,536,757,475,647,111,156,home,False
