id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
5_0,5,2024-12-23 19:03:39,49,282,Monday,644,254,918,432,781,343,273,178,home,False
5_6,5,2024-12-23 19:04:03,12,216,Monday,0,100,244,391,113,253,226,306,home,True
8_31,8,2024-12-23 19:05:40,51,283,Monday,391,36,514,109,397,92,93,185,home,False
8_24,8,2024-12-23 19:05:15,40,224,Monday,409,52,504,176,449,82,54,99,home,False
5_1,5,2024-12-23 19:03:40,217,886,Monday,0,98,261,374,130,276,260,360,home,True
5_3,5,2024-12-23 19:05:09,128,452,Monday,216,13,655,326,418,233,459,292,home,True
8_10,8,2024-12-23 19:08:54,37,207,Monday,350,90,500,200,429,130,80,164,home,False
8_68,8,2024-12-23 19:10:34,17,221,Monday,327,128,389,255,367,162,25,90,home,True
5_6,5,2024-12-23 19:05:07,522,3586,Monday,0,99,242,398,126,264,253,331,home,True
12_1,12,2024-12-23 19:04:14,577,4613,Monday,600,518,888,655,754,584,308,152,home,False
8_35,8,2024-12-23 19:06:00,30,325,Monday,410,26,513,70,470,69,125,23,home,False
8_40,8,2024-12-23 19:11:52,34,326,Monday,376,54,499,154,421,111,156,85,home,True
8_77,8,2024-12-23 19:09:59,23,274,Monday,352,106,455,226,403,154,151,112,home,True
8_83,8,2024-12-23 19:11:01,32,816,Monday,380,102,418,234,396,142,44,121,home,True
8_87,8,2024-12-23 19:12:04,31,226,Monday,444,75,502,202,472,101,63,95,home,False
