id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
5_2,5,2024-12-24 09:38:15,300,574,Tuesday,484,239,1004,702,744,470,522,462,home,False
8_0,8,2024-12-24 09:38:00,220,3658,Tuesday,485,434,590,619,537,526,105,184,home,False
5_0,5,2024-12-24 09:38:02,595,9391,Tuesday,141,123,617,473,459,311,314,324,home,True
8_32,8,2024-12-24 09:44:59,26,618,Tuesday,727,193,882,277,804,235,154,83,home,False
8_39,8,2024-12-24 09:46:38,75,1340,Tuesday,570,61,662,173,621,106,77,106,home,False
8_40,8,2024-12-24 09:46:39,66,686,Tuesday,566,87,651,174,591,143,51,59,home,False
