73,2024-08-05 06:40:12.055655,2024-08-05 06:41:36.785701,127,326,71,342,232,table2
73,2024-08-05 06:40:11.260818,2024-08-05 06:43:39.758683,858,210,41,244,221,table2
41,2024-08-05 06:40:11.254761,2024-08-05 06:44:40.240945,837,101,157,148,243,table2
-1,2024-08-05 06:42:24.553449,2024-08-05 06:43:40.451960,426,506,322,575,402,table2
73,2024-08-05 06:43:41.678225,2024-08-05 06:47:08.173481,1089,149,320,351,470,table2
65,2024-08-05 06:40:11.197021,2024-08-05 06:47:07.855802,2353,78,288,146,424,table2
76,2024-08-05 06:40:43.621104,2024-08-05 06:47:08.158972,2142,389,301,485,387,table2
73,2024-08-05 06:40:11.235769,2024-08-05 06:47:07.275808,2349,189,55,225,205,table2
-1,2024-08-05 06:41:09.168325,2024-08-05 06:43:40.471167,889,494,281,558,336,table2
-1,2024-08-05 06:41:54.319018,2024-08-05 06:43:40.477241,607,259,254,320,316,table2
73,2024-08-05 06:40:11.229846,2024-08-05 06:47:07.445159,2350,339,60,362,232,table2
-1,2024-08-05 06:47:18.541530,2024-08-05 06:47:29.196669,51,258,254,326,320,table2
73,2024-08-05 06:47:17.032340,2024-08-05 06:47:42.935138,117,339,61,363,231,table2
65,2024-08-05 06:47:22.774124,2024-08-05 06:48:19.587842,129,78,289,146,424,table2
41,2024-08-05 06:44:50.673295,2024-08-05 06:46:30.743567,152,101,157,148,243,table2
73,2024-08-05 06:47:22.825335,2024-08-05 06:48:48.946271,203,189,55,225,206,table2
-1,2024-08-05 06:47:49.202548,2024-08-05 06:48:38.423552,56,260,253,322,316,table2
73,2024-08-05 06:47:44.567880,2024-08-05 06:48:44.022793,186,339,60,362,232,table2
74,2024-08-05 06:40:11.204763,2024-08-05 06:47:07.425878,2349,148,191,215,261,table2
73,2024-08-05 06:40:11.211769,2024-08-05 06:47:07.451373,4697,231,54,272,226,table2
73,2024-08-05 06:40:11.217939,2024-08-05 06:50:15.150510,3023,264,20,297,229,table2
73,2024-08-05 06:40:11.223954,2024-08-05 06:50:15.144163,3017,303,55,320,228,table2
73,2024-08-05 06:49:15.600283,2024-08-05 06:50:15.156924,210,339,60,362,233,table2
73,2024-08-05 06:40:11.248807,2024-08-05 06:50:15.182782,3016,288,64,305,230,table2
73,2024-08-05 06:48:51.194862,2024-08-05 06:50:12.320550,98,209,34,251,220,table2
-1,2024-08-05 06:40:18.919835,2024-08-05 06:43:40.445843,1222,195,362,258,410,table2
-1,2024-08-05 06:42:53.198659,2024-08-05 06:43:40.439806,253,574,364,635,426,table2
76,2024-08-05 06:47:22.780764,2024-08-05 06:47:42.896134,87,389,301,485,386,table2
-1,2024-08-05 06:47:22.881907,2024-08-05 06:50:12.895525,434,495,281,557,335,table2
-1,2024-08-05 06:41:38.209969,2024-08-05 06:43:40.433735,701,163,308,224,350,table2
-1,2024-08-05 06:47:19.102312,2024-08-05 06:50:14.492117,614,506,322,573,401,table2
73,2024-08-05 06:47:19.233465,2024-08-05 06:50:15.169664,656,148,320,351,471,table2
-1,2024-08-05 06:45:51.917029,2024-08-05 06:46:31.150549,194,354,351,431,454,table2
-1,2024-08-05 06:46:32.806262,2024-08-05 06:47:07.886049,182,184,259,220,310,table2
65,2024-08-05 06:47:44.529019,2024-08-05 06:50:15.118209,486,78,288,146,424,table2
73,2024-08-05 06:47:17.003744,2024-08-05 06:50:15.176508,1335,231,54,271,226,table2
74,2024-08-05 06:47:17.017762,2024-08-05 06:50:15.131285,668,150,192,215,256,table2
73,2024-08-05 06:48:03.446306,2024-08-05 06:49:19.402384,157,339,60,362,232,table2
73,2024-08-05 06:47:17.925711,2024-08-05 06:50:15.163194,424,188,55,226,208,table2
-1,2024-08-05 06:47:18.515649,2024-08-05 06:50:15.220629,657,353,352,437,472,table2
-1,2024-08-05 06:48:13.904871,2024-08-05 06:50:14.507428,166,495,282,558,335,table2
-1,2024-08-05 06:47:18.547946,2024-08-05 06:50:15.259672,622,113,247,231,334,table2
-1,2024-08-05 06:47:19.089557,2024-08-05 06:50:14.175962,376,578,361,630,413,table2
-1,2024-08-05 06:47:44.636868,2024-08-05 06:50:15.246660,534,337,274,497,359,table2
-1,2024-08-05 06:47:44.872266,2024-08-05 06:50:14.499689,299,378,320,440,402,table2
25,2024-08-05 06:48:23.016790,2024-08-05 06:50:14.423457,371,446,318,541,479,table2
-1,2024-08-05 06:48:50.556016,2024-08-05 06:50:15.201669,429,233,226,291,274,table2
67,2024-08-05 06:49:41.390141,2024-08-05 06:50:15.124968,125,283,306,360,370,table2
