id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
4_0,4,2025-01-26 19:38:06,102,340,Sunday,238,400,525,644,382,524,286,248,home,False
5_2,5,2025-01-26 19:39:21,182,1866,Sunday,331,214,891,646,551,239,630,415,home,True
8_1,8,2025-01-26 19:34:22,223,1124,Sunday,523,378,672,457,598,418,148,78,home,False
9_0,9,2025-01-26 19:34:22,324,1761,Sunday,756,505,850,632,803,569,93,126,home,False
8_0,8,2025-01-26 19:34:22,223,3462,Sunday,726,445,902,482,814,463,176,36,home,False
12_0,12,2025-01-26 19:38:56,147,409,Sunday,259,227,471,318,361,271,223,80,home,False
12_1,12,2025-01-26 19:41:24,235,4788,Sunday,313,151,470,336,370,251,247,102,home,False
