id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
5_0,5,2024-12-24 09:18:00,279,5396,Tuesday,181,211,793,672,493,463,499,339,home,False
5_4,5,2024-12-24 09:22:13,62,217,Tuesday,198,245,781,660,489,457,502,346,home,False
5_5,5,2024-12-24 09:22:13,62,248,Tuesday,566,101,758,274,663,188,192,172,home,False
5_2,5,2024-12-24 09:19:03,247,695,Tuesday,124,138,884,744,511,418,987,825,home,True
5_7,5,2024-12-24 09:21:35,171,1327,Tuesday,311,234,764,654,328,474,166,241,home,False
4_2,4,2024-12-24 09:21:54,208,793,Tuesday,160,110,400,372,281,241,239,263,home,False
5_1,5,2024-12-24 09:21:37,223,318,Tuesday,570,97,764,272,678,175,200,189,home,True
5_2,5,2024-12-24 09:24:16,65,419,Tuesday,16,6,911,758,501,420,991,826,home,True
5_3,5,2024-12-24 09:19:46,414,601,Tuesday,156,101,400,362,282,237,239,259,home,True
5_6,5,2024-12-24 09:27:09,50,511,Tuesday,160,67,591,426,335,180,184,360,home,True
5_16,5,2024-12-24 09:25:24,116,1449,Tuesday,459,216,952,629,602,435,247,338,home,True
5_19,5,2024-12-24 09:25:29,150,376,Tuesday,517,242,1001,658,731,339,475,267,home,True
8_6,8,2024-12-24 09:25:34,145,1382,Tuesday,404,441,609,584,477,525,263,116,home,True
