id,label,arrival_time,stay_time,count,day_of_week,x1,y1,x2,y2,x_cent,y_cent,width,height,place,is_touch
2_15,2,2025-01-16 15:51:44,48,951,Thursday,668,145,779,389,712,258,107,261,home,True
5_2,5,2025-01-16 15:48:53,166,371,Thursday,370,369,902,839,657,616,490,445,home,True
2_0,2,2025-01-16 15:48:36,40,1179,Thursday,583,100,688,320,636,210,104,220,home,False
2_3,2,2025-01-16 15:49:16,42,272,Thursday,232,196,424,479,329,303,190,212,home,True
3_3,3,2025-01-16 15:49:16,140,680,Thursday,230,196,425,502,328,351,194,308,home,True
2_5,2,2025-01-16 15:49:19,143,1999,Thursday,365,76,503,292,515,221,127,219,home,True
2_13,2,2025-01-16 15:51:17,19,358,Thursday,361,101,495,290,428,212,134,159,home,True
2_15,2,2025-01-16 15:53:12,68,1189,Thursday,670,155,773,391,721,270,103,240,home,True
2_16,2,2025-01-16 15:52:02,139,2359,Thursday,670,162,773,392,721,279,103,224,home,True
3_12,3,2025-01-16 15:57:28,8,225,Thursday,551,130,695,263,626,196,138,133,home,True
8_2,8,2025-01-16 15:57:48,431,2541,Thursday,1,267,61,331,31,298,59,63,home,True
5_7,5,2025-01-16 15:57:51,12,358,Thursday,606,41,826,329,819,181,490,362,home,True
5_9,5,2025-01-16 15:58:04,415,4472,Thursday,339,368,907,846,630,611,554,470,home,True
2_21,2,2025-01-16 15:58:05,413,211,Thursday,550,513,632,656,591,584,80,143,home,True
3_17,3,2025-01-16 15:58:05,414,538,Thursday,91,229,271,413,180,319,194,188,home,True
