67,2024-04-13 14:32:59.968340,2024-04-13 14:33:15.804722,79,435,94,522,155
39,2024-04-13 14:30:45.280804,2024-04-13 14:31:45.966535,1223,486,120,586,313
65,2024-04-13 14:30:50.988639,2024-04-13 14:31:15.523687,131,324,189,435,376
67,2024-04-13 14:30:50.997963,2024-04-13 14:31:45.592697,1029,207,220,255,282
76,2024-04-13 14:31:40.564778,2024-04-13 14:31:45.530734,80,244,236,342,329
39,2024-04-13 14:31:46.105101,2024-04-13 14:32:22.335984,757,486,121,587,310
76,2024-04-13 14:32:35.967263,2024-04-13 14:32:39.691918,77,416,243,558,337
65,2024-04-13 14:32:46.381118,2024-04-13 14:32:56.327793,188,421,158,548,222
76,2024-04-13 14:33:17.525698,2024-04-13 14:33:43.325272,302,240,239,341,335
67,2024-04-13 14:33:17.530417,2024-04-13 14:33:43.208215,327,208,221,255,283
76,2024-04-13 14:33:17.630816,2024-04-13 14:34:28.467240,1083,416,244,558,337
73,2024-04-13 14:33:30.754410,2024-04-13 14:33:39.167387,142,139,7,324,158
73,2024-04-13 14:33:39.659545,2024-04-13 14:34:26.230123,841,140,8,327,166
76,2024-04-13 14:33:44.562446,2024-04-13 14:34:02.538852,172,240,238,341,335
73,2024-04-13 14:34:21.153339,2024-04-13 14:34:32.860556,204,70,177,241,294
73,2024-04-13 14:34:26.460900,2024-04-13 14:34:44.310235,343,136,0,326,170
73,2024-04-13 14:34:45.344399,2024-04-13 14:34:59.681313,240,136,71,326,173
73,2024-04-13 14:34:51.763792,2024-04-13 14:35:02.037704,37,194,49,288,140
73,2024-04-13 14:35:02.824117,2024-04-13 14:35:22.505026,390,156,3,325,157
